Table A. EPMA and QEMSCAN results in wt% for selected sphalerite grains,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Analysis No.,Sample,ParticleID,Raw EPMA data,,,,,,,Normalized EPMA data,,,,,Raw QEMSCAN data,,,,Normalized QEMSCAN data,,
,,,Fe,Zn,Cu,S,Cd,Mn,Total,Fe,Zn,S,Cd,Mn,S,Mn,Fe,Zn,Mn,Fe,Zn
1,Zn-Conc,4761,4.2,62.4,0,32.4,0.2,0.5,99.7,4.2,62.6,32.5,0.2,0.5,34.1,0.6,4.5,66,0.5,4.2,62
2,Zn-Conc,4894,4.3,62.5,0,32.5,0.2,0.5,100,4.3,62.5,32.5,0.2,0.5,34.8,0.6,4.6,66.5,0.5,4.3,62
3,Zn-Conc,4797c,6.7,59,0,32.5,0.2,1.2,99.6,6.7,59.2,32.7,0.2,1.2,35.6,1.5,7,63.4,1.4,6.5,58.9
4,Zn-Conc,4853,3.7,62.7,0,32.5,0.2,0.6,99.8,3.7,62.8,32.6,0.2,0.6,34.6,0.6,3.9,66.8,0.6,3.6,62.6
5,Zn-Conc,4783,3.9,62.5,0,32.6,0.2,0.8,100,3.9,62.5,32.6,0.2,0.8,34.7,0.8,4.2,66.4,0.7,3.9,62.1
6,Zn-Conc,4834b,5.1,61.6,0,32.6,0.2,0.3,99.9,5.1,61.7,32.6,0.2,0.3,34.4,0.4,5.1,65.5,0.3,4.8,61.6
7,Zn-Conc,4824b,3.5,63.3,0,32.6,0.3,0.3,100,3.5,63.3,32.6,0.3,0.3,34.1,0.5,3.7,65.3,0.5,3.6,62.8
8,Zn-Conc,4787,6,60.6,0,32.7,0.2,0.6,100,6,60.6,32.6,0.2,0.6,35.2,0.6,6.1,65.5,0.6,5.6,60.6
9,Zn-Conc,4865a,7.1,59.3,0,32.7,0.2,0.6,99.9,7.1,59.4,32.7,0.2,0.6,35.1,0.7,7.6,64.7,0.7,6.9,59.2
10,Zn-Conc,4834a,5,62.1,0,32.7,0.2,0.3,100.4,5,61.8,32.6,0.2,0.3,34.9,0.4,5.1,65.3,0.4,4.8,61.6
11,Zn-Conc,4864,6.7,59.7,0,32.7,0.2,0.7,100.1,6.7,59.7,32.7,0.2,0.7,35.2,0.8,7,63.7,0.8,6.5,59.5
12,Zn-Conc,4841b,3.5,63.5,0,32.7,0.3,0.4,100.3,3.5,63.3,32.6,0.2,0.4,34.2,0.4,3.5,65.9,0.4,3.3,63.1
13,Zn-Conc,4842b,4,63.3,0,32.7,0.2,0.3,100.5,3.9,63,32.6,0.2,0.3,34.2,0.4,4.1,66.3,0.3,3.9,62.6
14,Zn-Conc,4810,6.7,59.1,0,32.7,0.2,1.1,99.9,6.7,59.2,32.8,0.2,1.1,35.5,1.1,6.7,64.7,1,6.2,59.6
15,Zn-Conc,4842a,5.8,60.7,0,32.8,0.2,0.6,100.1,5.8,60.6,32.7,0.2,0.6,34.4,0.5,5.8,64.7,0.5,5.5,60.9
16,Zn-Conc,4878,6.2,60.3,0,32.8,0.2,0.6,100.1,6.2,60.3,32.7,0.2,0.6,34.9,0.7,6.2,65.9,0.6,5.7,60.5
17,Zn-Conc,4797b,5.4,60.5,0,32.8,0.3,1.1,100,5.4,60.4,32.7,0.3,1.1,35.6,1.1,5.5,65.6,1,5.1,60.7
18,Zn-Conc,4858,4.9,61.1,0,32.8,0.2,1.1,100,4.9,61.1,32.8,0.2,1.1,34.8,1.1,5.2,65.3,1,4.9,60.9
19,Zn-Conc,4812,5,61.2,0,32.8,0.2,0.7,99.9,5,61.3,32.8,0.2,0.7,35,0.7,5,66.6,0.7,4.6,61.5
20,Zn-Conc,4771,6.1,60.9,0,32.8,0.3,0.1,100.2,6.1,60.8,32.7,0.3,0.1,35.8,0.3,6.3,65.7,0.3,5.8,60.7
21,Zn-Conc,4785,5.1,61.4,0,32.8,0.2,0.4,99.9,5.1,61.5,32.8,0.2,0.4,35.2,0.4,5.4,64.7,0.4,5.1,61.3
22,Zn-Conc,4833,5.4,60.5,0,32.8,0.2,0.9,99.8,5.4,60.6,32.8,0.2,0.9,34.9,0.9,5.5,63.5,0.9,5.2,60.7
23,Zn-Conc,4794,6.6,59,0,32.8,0.2,1.2,99.8,6.6,59.1,32.9,0.2,1.2,35.8,1.1,7.1,65.8,1,6.4,59.4
24,Zn-Conc,4896b,5.7,60.4,0,32.8,0.2,0.7,99.9,5.7,60.5,32.8,0.2,0.7,35.7,0.8,6.1,65.6,0.7,5.7,60.4
25,Zn-Conc,4891,4.4,62.1,0,32.8,0.2,0.6,100.2,4.4,62,32.7,0.2,0.6,34.5,0.7,4.9,66.4,0.7,4.6,61.6
26,Zn-Conc,4829,6.1,59.6,0,32.8,0.2,1.1,99.8,6.1,59.7,32.9,0.2,1.1,35.2,1,6.5,65.1,1,6,59.9
27,Zn-Conc,4872,3.7,63.5,0,32.8,0.3,0.4,100.7,3.7,63,32.6,0.2,0.4,34.4,0.5,4.1,65.5,0.5,3.9,62.4
28,Zn-Conc,4862,5.8,60.5,0,32.8,0.1,0.6,99.8,5.8,60.6,32.9,0.1,0.6,34.8,0.6,5.7,67.1,0.6,5.2,61.1
29,Zn-Conc,4781,5,61.7,0,32.8,0.2,0.3,100.2,5,61.6,32.8,0.2,0.3,34.7,0.4,5.2,66,0.4,4.8,61.6
30,Zn-Conc,4816,6.4,59.8,0,32.8,0.2,1,100.2,6.4,59.7,32.8,0.2,1,36,1,6.8,64.5,0.9,6.3,59.6
31,Zn-Conc,4760,6.7,59.7,0,32.9,0.2,0.5,100,6.7,59.7,32.9,0.2,0.5,35.6,0.6,7.3,63,0.6,6.9,59.4
32,Zn-Conc,4836,5,61.9,0,32.9,0.2,0.3,100.3,5,61.7,32.8,0.2,0.3,34.6,0.5,5.4,66,0.5,5,61.3
33,Zn-Conc,4859,6.4,59.4,0,32.9,0.2,1.2,100.1,6.4,59.3,32.8,0.2,1.2,35.9,1.1,6.7,63.5,1.1,6.2,59.5
34,Zn-Conc,4778,7.2,57.1,0,32.9,0.2,2.3,99.7,7.2,57.3,33,0.2,2.3,36.4,2.5,7,63,2.3,6.5,58
35,Zn-Conc,4764,4.3,61.9,0,32.9,0.2,0.5,99.7,4.3,62.1,33,0.2,0.5,34.5,0.6,4.6,65.4,0.5,4.3,61.9
36,Zn-Conc,4851e,6.5,60.1,0,32.9,0.2,0.5,100.2,6.5,60,32.8,0.2,0.5,35.4,0.7,6.6,65.1,0.6,6.1,60.1
37,Zn-Conc,4889,6.8,59.7,0,32.9,0.2,0.7,100.4,6.8,59.5,32.8,0.2,0.7,35.3,0.7,6.8,64.1,0.7,6.3,59.8
38,Zn-Conc,4818,6.1,59.3,0,32.9,0.1,1.6,100,6.1,59.3,32.9,0.1,1.6,35.9,1.7,6.4,64.8,1.6,5.9,59.3
39,Zn-Conc,4788b,7,59.7,0,32.9,0.2,0.5,100.5,7,59.5,32.8,0.2,0.5,35.1,0.5,7,64.7,0.5,6.5,59.9
40,Zn-Conc,4851d,5.4,61.2,0,32.9,0.2,0.6,100.3,5.4,61,32.8,0.2,0.6,35.4,0.6,5.5,66.8,0.5,5,61.2
41,Zn-Conc,4851c,7.9,56.4,0,32.9,0.2,2.4,99.9,7.9,56.5,33,0.2,2.5,37,2.8,8.3,61.1,2.6,7.7,56.5
42,Zn-Conc,4840,5.8,60.9,0,32.9,0.2,0.6,100.4,5.8,60.7,32.8,0.2,0.6,34.8,0.5,6.1,66.2,0.4,5.6,60.8
43,Zn-Conc,4852,4.6,62.6,0,32.9,0.2,0.4,100.8,4.6,62.1,32.7,0.2,0.4,35.1,0.4,4.9,66.6,0.4,4.5,61.9
44,Zn-Conc,4832,7,59.1,0,33,0.2,1.2,100.4,7,58.8,32.8,0.2,1.1,35.6,1.1,7.3,64.2,1,6.7,59.1
45,Zn-Conc,4788a,7.8,56.7,0,33,0.2,2.5,100.2,7.8,56.6,32.9,0.2,2.5,37,2.7,8,62.8,2.5,7.3,57.1
46,Zn-Conc,4897,5.9,60.4,0,33,0.2,0.7,100.2,5.9,60.3,32.9,0.2,0.7,34.7,0.8,6.1,64.4,0.8,5.7,60.3
47,Zn-Conc,4809,7,59.2,0,33,0.2,0.8,100.2,7,59.1,32.9,0.2,0.8,35.3,0.9,7.3,64.4,0.8,6.7,59.3
48,Zn-Conc,4751,7.1,59.1,0,33,0.2,0.9,100.4,7.1,58.9,32.9,0.2,0.9,35.6,1,7.5,64.3,0.9,6.9,59
49,Zn-Conc,4848,8.5,55.9,0,33,0.2,2.7,100.2,8.4,55.8,32.9,0.2,2.7,37.2,2.9,8.8,62.6,2.6,7.9,56.3
50,Zn-Conc,4885,6.5,60.5,0,33,0.2,0.4,100.5,6.4,60.2,32.8,0.2,0.4,35.4,0.5,6.8,65,0.5,6.3,60.1
51,Zn-Conc,4879,7,59.7,0,33,0.2,0.5,100.5,7,59.4,32.8,0.2,0.5,36.9,0.6,7.9,63,0.6,7.4,58.8
52,Zn-Conc,4882,9.3,53.1,0,33,0.1,4.2,99.8,9.4,53.2,33.1,0.1,4.2,38,4.5,10.2,59.3,4,9.2,53.6
53,Zn-Conc,4857,7.5,58.3,0,33.1,0.2,1,100,7.5,58.3,33,0.2,1,35.9,1,7.9,63.7,0.9,7.3,58.6
54,Zn-Conc,4860,6.9,59,0,33.1,0.2,1.1,100.3,6.9,58.9,33,0.2,1.1,36.1,1.1,7.3,64.3,1,6.7,59.1
55,Zn-Conc,4903,6.7,59.7,0,33.1,0.2,0.6,100.2,6.7,59.5,33,0.2,0.6,35.8,0.7,7.3,66.4,0.7,6.6,59.6
56,Zn-Conc,4869,7.8,57.9,0,33.1,0.2,1.4,100.5,7.8,57.7,32.9,0.2,1.4,35.8,1.3,7.8,63.7,1.2,7.1,58.5
57,Zn-Conc,4814,7.1,58.8,0,33.1,0.2,0.7,100,7.1,58.8,33.1,0.2,0.7,35.6,0.8,7.4,64.7,0.7,6.8,59.3
58,Zn-Conc,4819,7.1,59.6,0,33.1,0.2,0.6,100.6,7.1,59.2,32.9,0.2,0.6,35.9,0.7,7.7,64.9,0.7,7,59.1
59,Zn-Conc,4898,6.2,60.2,0,33.1,0.2,0.7,100.4,6.2,60,33,0.2,0.6,35.7,0.6,6.5,66.3,0.5,5.9,60.4
60,Zn-Conc,4824a,8.2,56.1,0,33.1,0.2,2.4,100.1,8.2,56.1,33.1,0.2,2.4,37.1,2.4,8.3,60.4,2.3,7.8,56.7
61,Zn-Conc,4863,7.1,58.9,0,33.1,0.2,1.3,100.7,7.1,58.6,32.9,0.2,1.3,35.9,1.1,7.5,64.1,1,6.9,58.9
62,Zn-Conc,4793,7,59.1,0,33.1,0.2,0.9,100.4,7,58.9,33,0.2,0.9,36.1,0.9,7.5,64.9,0.8,6.8,59.1
63,Zn-Conc,4769,7.8,57.2,0,33.1,0.2,1.7,100,7.8,57.1,33.1,0.2,1.7,36.4,1.8,8.4,63.5,1.7,7.6,57.5
64,Zn-Conc,4865b,7,59.6,0,33.1,0.2,0.5,100.4,7,59.3,33,0.2,0.5,36.2,0.6,6.4,62.9,0.5,6.2,60.1
65,Zn-Conc,4782,6.2,59.9,0,33.1,0.2,1.1,100.6,6.2,59.5,33,0.2,1.1,35.6,1.1,6.5,65.9,1,5.9,59.9
66,Zn-Conc,4806,6.1,57.1,0,33.1,0.2,3.6,100.1,6.1,57,33.1,0.2,3.6,35.7,4.3,6.7,61.9,4,6.2,56.7
67,Zn-Conc,4883,6.1,60.6,0,33.2,0.2,0.9,100.9,6,60,32.9,0.2,0.9,35.2,0.8,6.3,65.1,0.7,5.8,60.2
68,Zn-Conc,4791,7.3,58.7,0,33.2,0.2,1,100.4,7.2,58.5,33,0.2,1,36.1,1,7.7,65.4,0.9,6.9,58.9
69,Zn-Conc,4893,8,56.1,0,33.2,0.1,2.6,100.1,8,56.1,33.2,0.1,2.6,36.6,3,8,61.8,2.7,7.3,56.7
70,Zn-Conc,4841a,5.4,60.7,0,33.2,0.3,1.2,100.8,5.4,60.3,32.9,0.3,1.2,34.9,1.2,5.7,65.4,1.1,5.2,60.5
71,Zn-Conc,4797d,7.3,59.1,0,33.2,0.2,0.6,100.4,7.3,58.9,33.1,0.2,0.6,35.1,0.8,7.7,64.2,0.8,7.1,58.9
72,Zn-Conc,4797a,7.8,57.4,0,33.3,0.2,1.4,100.1,7.8,57.4,33.3,0.2,1.4,36.1,1.4,7.5,64.2,1.3,6.9,58.7
73,Zn-Conc,4896a,6.8,59.3,0,33.3,0.3,1.1,100.9,6.8,58.8,33,0.3,1.1,36.2,1.2,7.2,64.2,1.1,6.6,59
74,Zn-Conc,4851b,8,57.9,0,33.3,0.2,1.4,100.9,8,57.4,33,0.2,1.4,36.2,1.3,8.3,64,1.2,7.6,58.1
75,Zn-Conc,4805,7.7,53.5,0,33.6,0.2,5.2,100.2,7.7,53.3,33.6,0.2,5.2,37.1,5.5,8,60.3,4.9,7.2,54.6
76,Zn-Conc,4851a,8.6,55.6,0,33.8,0.1,2.9,101,8.5,55,33.5,0.1,2.9,36.8,2.7,8.3,61.9,2.5,7.6,56.8
77,Zn-Conc,4820,7.4,56.4,0,33,0.2,2.6,99.5,7.4,56.6,33.1,0.2,2.6,37.9,2.6,9.4,60.6,2.4,8.6,55.8
78,Zn-Conc,4774,2.7,63.3,0,32.7,0.2,1,100,2.7,63.3,32.7,0.2,1,34.4,1,3.2,67.2,1,3,62.9
79,Zn-Tails,5164,5,60.5,0,32.7,0.2,0.9,99.4,5.1,60.9,32.9,0.2,1,36.8,1,5.3,61.7,1,5.2,60.6
80,Zn-Tails,7052,3.9,61.9,0,33,0.2,0.7,99.8,3.9,62.1,33.1,0.2,0.7,35.5,0.8,4.3,63.4,0.8,4.2,61.9
